before_tokenisasi,after_tokenisasi
betul,['betul']
tapi tetap saja kalau lini depan enggak lebih efektif ya percuma harus lebih tajam di finishing,"['tapi', 'tetap', 'saja', 'kalau', 'lini', 'depan', 'enggak', 'lebih', 'efektif', 'ya', 'percuma', 'harus', 'lebih', 'tajam', 'di', 'finishing']"
jadwal tayangan pertandingan sudah diumumkan,"['jadwal', 'tayangan', 'pertandingan', 'sudah', 'diumumkan']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
enggak aneh kok maino role nya false kaya firminho works waktu europe league karena striker enggak ada yang bisa di andelin,"['enggak', 'aneh', 'kok', 'maino', 'role', 'nya', 'false', 'kaya', 'firminho', 'works', 'waktu', 'europe', 'league', 'karena', 'striker', 'enggak', 'ada', 'yang', 'bisa', 'di', 'andelin']"
kamu saja yang main mas biar makin keren,"['kamu', 'saja', 'yang', 'main', 'mas', 'biar', 'makin', 'keren']"
walaupun enggak puasa trofi tapi secara permainan masih mendingan era ole deh ketimbang tenhag,"['walaupun', 'enggak', 'puasa', 'trofi', 'tapi', 'secara', 'permainan', 'masih', 'mendingan', 'era', 'ole', 'deh', 'ketimbang', 'tenhag']"
kemenangan buat mu tapi saya masih khawatir dengan pertahanan kita harus lebih hatihati di laga berikutnya,"['kemenangan', 'buat', 'mu', 'tapi', 'saya', 'masih', 'khawatir', 'dengan', 'pertahanan', 'kita', 'harus', 'lebih', 'hatihati', 'di', 'laga', 'berikutnya']"
rashy tadi ciptakan peluang ada juga bagus lagi,"['rashy', 'tadi', 'ciptakan', 'peluang', 'ada', 'juga', 'bagus', 'lagi']"
enggak buruk sih tapi juga enggak istimewa standar banget,"['enggak', 'buruk', 'sih', 'tapi', 'juga', 'enggak', 'istimewa', 'standar', 'banget']"
saya percaya dengan filosofi ruben amorim bruno fernandes semakin kreatif namun lini serang masih perlu lebih banyak peluang di depan gawang,"['saya', 'percaya', 'dengan', 'filosofi', 'ruben', 'amorim', 'bruno', 'fernandes', 'semakin', 'kreatif', 'namun', 'lini', 'serang', 'masih', 'perlu', 'lebih', 'banyak', 'peluang', 'di', 'depan', 'gawang']"
casemiro out,"['casemiro', 'out']"
badut tetaplah badut,"['badut', 'tetaplah', 'badut']"
laga kedua amorim mu menang tapi pertandingan ini masih penuh dengan kesalahan defensif,"['laga', 'kedua', 'amorim', 'mu', 'menang', 'tapi', 'pertandingan', 'ini', 'masih', 'penuh', 'dengan', 'kesalahan', 'defensif']"
stop mainin rashford sama casemiro sebagai starter kasih amad sama ugarte yang main inti,"['stop', 'mainin', 'rashford', 'sama', 'casemiro', 'sebagai', 'starter', 'kasih', 'amad', 'sama', 'ugarte', 'yang', 'main', 'inti']"
tim medis nya dipertanyakan,"['tim', 'medis', 'nya', 'dipertanyakan']"
stay semusim lagi,"['stay', 'semusim', 'lagi']"
ruben amorim sudah mulai memperkenalkan filosofi baru namun saya merasa lini serang masih perlu banyak perbaikan untuk meraih kemenangan,"['ruben', 'amorim', 'sudah', 'mulai', 'memperkenalkan', 'filosofi', 'baru', 'namun', 'saya', 'merasa', 'lini', 'serang', 'masih', 'perlu', 'banyak', 'perbaikan', 'untuk', 'meraih', 'kemenangan']"
betull,['betull']
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
tiap musim begini terus,"['tiap', 'musim', 'begini', 'terus']"
ada striker malah mainin tanpa striker kadang strategi ten hag ini bagong,"['ada', 'striker', 'malah', 'mainin', 'tanpa', 'striker', 'kadang', 'strategi', 'ten', 'hag', 'ini', 'bagong']"
fix harry amass obi martin masuk skuad sih lekas pulih mu ggmu,"['fix', 'harry', 'amass', 'obi', 'martin', 'masuk', 'skuad', 'sih', 'lekas', 'pulih', 'mu', 'ggmu']"
faktanya bacot carragher lebih peduli daripada bacot legend emyu,"['faktanya', 'bacot', 'carragher', 'lebih', 'peduli', 'daripada', 'bacot', 'legend', 'emyu']"
ruben amorim menunjukkan bahwa dia punya visi yang jelas meskipun hasilnya imbang semoga tim bisa berkembang lebih baik di laga berikutnya,"['ruben', 'amorim', 'menunjukkan', 'bahwa', 'dia', 'punya', 'visi', 'yang', 'jelas', 'meskipun', 'hasilnya', 'imbang', 'semoga', 'tim', 'bisa', 'berkembang', 'lebih', 'baik', 'di', 'laga', 'berikutnya']"
bayindir kerasukan degeaa,"['bayindir', 'kerasukan', 'degeaa']"
fred sering membuat keputusan terburuburu yang menyebabkan kita kehilangan bola di area kritis,"['fred', 'sering', 'membuat', 'keputusan', 'terburuburu', 'yang', 'menyebabkan', 'kita', 'kehilangan', 'bola', 'di', 'area', 'kritis']"
inpo ig wasit,"['inpo', 'ig', 'wasit']"
beli striker tapi enggak di maenin dari menit awal fix radford anak emas,"['beli', 'striker', 'tapi', 'enggak', 'di', 'maenin', 'dari', 'menit', 'awal', 'fix', 'radford', 'anak', 'emas']"
assist bruno kelas banget crossing membelah lautan,"['assist', 'bruno', 'kelas', 'banget', 'crossing', 'membelah', 'lautan']"
suka tidak suka mental seperti ini lah yang tidak dipunya sanco bahkan pemain emyu lainnya juga,"['suka', 'tidak', 'suka', 'mental', 'seperti', 'ini', 'lah', 'yang', 'tidak', 'dipunya', 'sanco', 'bahkan', 'pemain', 'emyu', 'lainnya', 'juga']"
ten hag harus kasih instruksi lebih jelas ke pemain sering kelihatan bingung di lapangan,"['ten', 'hag', 'harus', 'kasih', 'instruksi', 'lebih', 'jelas', 'ke', 'pemain', 'sering', 'kelihatan', 'bingung', 'di', 'lapangan']"
pelatih fisiknya siapa emyu,"['pelatih', 'fisiknya', 'siapa', 'emyu']"
dia enggak sengaja itu kalo ente menonton enggak bakal tanya ini dan menyalahkan dia fix ente enggak menonton,"['dia', 'enggak', 'sengaja', 'itu', 'kalo', 'ente', 'menonton', 'enggak', 'bakal', 'tanya', 'ini', 'dan', 'menyalahkan', 'dia', 'fix', 'ente', 'enggak', 'menonton']"
pemain mulai mengerti gaya main amorim tapi lini belakang masih butuh pembenahan semoga lebih baik di lagalaga berikutnya,"['pemain', 'mulai', 'mengerti', 'gaya', 'main', 'amorim', 'tapi', 'lini', 'belakang', 'masih', 'butuh', 'pembenahan', 'semoga', 'lebih', 'baik', 'di', 'lagalaga', 'berikutnya']"
ada ada saja ini tim cuk,"['ada', 'ada', 'saja', 'ini', 'tim', 'cuk']"
belum terlihat perubahan signifikan tapi setidaknya ada perbaikan kecil dalam pola permainan,"['belum', 'terlihat', 'perubahan', 'signifikan', 'tapi', 'setidaknya', 'ada', 'perbaikan', 'kecil', 'dalam', 'pola', 'permainan']"
amorim master class babak kedua,"['amorim', 'master', 'class', 'babak', 'kedua']"
kapan mainnya bang,"['kapan', 'mainnya', 'bang']"
kalah menit akhir sat,"['kalah', 'menit', 'akhir', 'sat']"
iya itungannya mu cuma menambah juta doang karena mctominay dari akademi mu,"['iya', 'itungannya', 'mu', 'cuma', 'menambah', 'juta', 'doang', 'karena', 'mctominay', 'dari', 'akademi', 'mu']"
benar,['benar']
untungnya ada harry maguire,"['untungnya', 'ada', 'harry', 'maguire']"
garnacho dan amad game changer,"['garnacho', 'dan', 'amad', 'game', 'changer']"
sial emamg aku menonton babak pertama saja pas kebobolan selesai babak pertama aku matiin karena masuk kerja,"['sial', 'emamg', 'aku', 'menonton', 'babak', 'pertama', 'saja', 'pas', 'kebobolan', 'selesai', 'babak', 'pertama', 'aku', 'matiin', 'karena', 'masuk', 'kerja']"
buildup play lebih natural tidak dipaksakan seperti era ten hag,"['buildup', 'play', 'lebih', 'natural', 'tidak', 'dipaksakan', 'seperti', 'era', 'ten', 'hag']"
kayaknya mu butuh tomas tuchel,"['kayaknya', 'mu', 'butuh', 'tomas', 'tuchel']"
bilang saja softball,"['bilang', 'saja', 'softball']"
kenapa onana sering blunder kayaknya mu butuh kiper cadangan yang lebih siap,"['kenapa', 'onana', 'sering', 'blunder', 'kayaknya', 'mu', 'butuh', 'kiper', 'cadangan', 'yang', 'lebih', 'siap']"
kok masih percaya sama onana,"['kok', 'masih', 'percaya', 'sama', 'onana']"
fix harry amass obi martin masuk skuad sih lekas pulih mu ggmu,"['fix', 'harry', 'amass', 'obi', 'martin', 'masuk', 'skuad', 'sih', 'lekas', 'pulih', 'mu', 'ggmu']"
amorim baru datang tapi sudah bisa kelihatan mu mainnya lebih ngegas garnacho makin ganas di sayap,"['amorim', 'baru', 'datang', 'tapi', 'sudah', 'bisa', 'kelihatan', 'mu', 'mainnya', 'lebih', 'ngegas', 'garnacho', 'makin', 'ganas', 'di', 'sayap']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
masih butuh sih untuk cadangan jaga kalo ada cedera,"['masih', 'butuh', 'sih', 'untuk', 'cadangan', 'jaga', 'kalo', 'ada', 'cedera']"
zirkzee mulai mencair,"['zirkzee', 'mulai', 'mencair']"
kemenangan telak tapi pertahanan masih bisa lebih baik harus lebih waspada di lagalaga mendatang,"['kemenangan', 'telak', 'tapi', 'pertahanan', 'masih', 'bisa', 'lebih', 'baik', 'harus', 'lebih', 'waspada', 'di', 'lagalaga', 'mendatang']"
rashford out,"['rashford', 'out']"
semua fan berharap seperti itu min tapi kenapa pak bupati ini selalu main,"['semua', 'fan', 'berharap', 'seperti', 'itu', 'min', 'tapi', 'kenapa', 'pak', 'bupati', 'ini', 'selalu', 'main']"
kiper dia sudah mentas di liga champion bro kurang intens apa lagi antony itu bagus kok lihat saja musim pertama nya nah ini pelatih enggak ada tegas tegas nya rashford angin anginan begitu kenapa main terus lucu ente,"['kiper', 'dia', 'sudah', 'mentas', 'di', 'liga', 'champion', 'bro', 'kurang', 'intens', 'apa', 'lagi', 'antony', 'itu', 'bagus', 'kok', 'lihat', 'saja', 'musim', 'pertama', 'nya', 'nah', 'ini', 'pelatih', 'enggak', 'ada', 'tegas', 'tegas', 'nya', 'rashford', 'angin', 'anginan', 'begitu', 'kenapa', 'main', 'terus', 'lucu', 'ente']"
menang lawan city di final juga hoki brrti ya,"['menang', 'lawan', 'city', 'di', 'final', 'juga', 'hoki', 'brrti', 'ya']"
saya melihat banyak potensi di tim meskipun hanya imbang ruben amorim punya filosofi yang bisa membawa mu ke tingkat selanjutnya,"['saya', 'melihat', 'banyak', 'potensi', 'di', 'tim', 'meskipun', 'hanya', 'imbang', 'ruben', 'amorim', 'punya', 'filosofi', 'yang', 'bisa', 'membawa', 'mu', 'ke', 'tingkat', 'selanjutnya']"
saya percaya ruben amorim akan bisa membawa mu kembali ke jalur kemenangan meskipun kami hanya bermain imbang di pertandingan pertama,"['saya', 'percaya', 'ruben', 'amorim', 'akan', 'bisa', 'membawa', 'mu', 'kembali', 'ke', 'jalur', 'kemenangan', 'meskipun', 'kami', 'hanya', 'bermain', 'imbang', 'di', 'pertandingan', 'pertama']"
suee kenapa lebih enak menonton brighton maennya,"['suee', 'kenapa', 'lebih', 'enak', 'menonton', 'brighton', 'maennya']"
enggak habis mikir sampai botak,"['enggak', 'habis', 'mikir', 'sampai', 'botak']"
banyak pemain mu yang performanya naik turun harusnya lebih konsisten,"['banyak', 'pemain', 'mu', 'yang', 'performanya', 'naik', 'turun', 'harusnya', 'lebih', 'konsisten']"
fulham juga ancuran kocak bagaimana enggak bagus kalo lawan lu saja jelek dari segi apapun jelas dibawah mu fulham bro mau bagaimana lagi ini botak sudah musim main stagnan mulu mau sampai kapan wkwkwk,"['fulham', 'juga', 'ancuran', 'kocak', 'bagaimana', 'enggak', 'bagus', 'kalo', 'lawan', 'lu', 'saja', 'jelek', 'dari', 'segi', 'apapun', 'jelas', 'dibawah', 'mu', 'fulham', 'bro', 'mau', 'bagaimana', 'lagi', 'ini', 'botak', 'sudah', 'musim', 'main', 'stagnan', 'mulu', 'mau', 'sampai', 'kapan', 'wkwkwk']"
enggak ada posisi yang aman di mu selagi lu enggak konsisten babak pertama main jelek saja bisa di ganti,"['enggak', 'ada', 'posisi', 'yang', 'aman', 'di', 'mu', 'selagi', 'lu', 'enggak', 'konsisten', 'babak', 'pertama', 'main', 'jelek', 'saja', 'bisa', 'di', 'ganti']"
untuk saat ini belum ada,"['untuk', 'saat', 'ini', 'belum', 'ada']"
amorim bawa mu menang tapi lini belakang masih rentan banget kita butuh soliditas di sana,"['amorim', 'bawa', 'mu', 'menang', 'tapi', 'lini', 'belakang', 'masih', 'rentan', 'banget', 'kita', 'butuh', 'soliditas', 'di', 'sana']"
kalo kerja mendingan gausa di tonton bang energinya dikuras pas menonton mu,"['kalo', 'kerja', 'mendingan', 'gausa', 'di', 'tonton', 'bang', 'energinya', 'dikuras', 'pas', 'menonton', 'mu']"
lini tengah ini parah banget operoperan enggak jelas kayak main tarkam,"['lini', 'tengah', 'ini', 'parah', 'banget', 'operoperan', 'enggak', 'jelas', 'kayak', 'main', 'tarkam']"
beli pemain siapa itu saja antony case onana dll siapa yang pilih ten hag kan nah sekarang kenapa mereka dulu passing bagus tiba di united passing jelek semua ya salah pelatih lah,"['beli', 'pemain', 'siapa', 'itu', 'saja', 'antony', 'case', 'onana', 'dll', 'siapa', 'yang', 'pilih', 'ten', 'hag', 'kan', 'nah', 'sekarang', 'kenapa', 'mereka', 'dulu', 'passing', 'bagus', 'tiba', 'di', 'united', 'passing', 'jelek', 'semua', 'ya', 'salah', 'pelatih', 'lah']"
gila pemain kosong tanpa kawalan,"['gila', 'pemain', 'kosong', 'tanpa', 'kawalan']"
semoga ada ugarte jadi bisa refresh lagi deh performanya case,"['semoga', 'ada', 'ugarte', 'jadi', 'bisa', 'refresh', 'lagi', 'deh', 'performanya', 'case']"
mantap,['mantap']
mana mau emyu wkwkwk sancho saja mau di duitkan lagian manajemen emyu sudah di isi orang berpengalaman semua kayak omar berrarda jason wilcox dan ashworth sama vivel sudah pasti bakal di analisis lah,"['mana', 'mau', 'emyu', 'wkwkwk', 'sancho', 'saja', 'mau', 'di', 'duitkan', 'lagian', 'manajemen', 'emyu', 'sudah', 'di', 'isi', 'orang', 'berpengalaman', 'semua', 'kayak', 'omar', 'berrarda', 'jason', 'wilcox', 'dan', 'ashworth', 'sama', 'vivel', 'sudah', 'pasti', 'bakal', 'di', 'analisis', 'lah']"
lini depan kita lebih hidup tapi defense masih masalah besar mu menang tapi pertahanan harus diperbaiki cepat,"['lini', 'depan', 'kita', 'lebih', 'hidup', 'tapi', 'defense', 'masih', 'masalah', 'besar', 'mu', 'menang', 'tapi', 'pertahanan', 'harus', 'diperbaiki', 'cepat']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
juventot anjink enggak tau malu nge bid koopmeiners juta mau tapi beli sancho yang juta malah pengennya loan,"['juventot', 'anjink', 'enggak', 'tau', 'malu', 'nge', 'bid', 'koopmeiners', 'juta', 'mau', 'tapi', 'beli', 'sancho', 'yang', 'juta', 'malah', 'pengennya', 'loan']"
ternyata masih sama kaya tahun kemarin cuma ekspektasi dan harapan kita saja sebagai fan yang gede,"['ternyata', 'masih', 'sama', 'kaya', 'tahun', 'kemarin', 'cuma', 'ekspektasi', 'dan', 'harapan', 'kita', 'saja', 'sebagai', 'fan', 'yang', 'gede']"
duit saja sini buat beli reguilon,"['duit', 'saja', 'sini', 'buat', 'beli', 'reguilon']"
onana masih sering bikin keputusan aneh harusnya lebih tenang di bawah mistar,"['onana', 'masih', 'sering', 'bikin', 'keputusan', 'aneh', 'harusnya', 'lebih', 'tenang', 'di', 'bawah', 'mistar']"
definitely agree with that one,"['definitely', 'agree', 'with', 'that', 'one']"
mazraoui dengan crossesnya benerbener mengasih dimensi baru di sisi kanan sayap mu makin hidup,"['mazraoui', 'dengan', 'crossesnya', 'benerbener', 'mengasih', 'dimensi', 'baru', 'di', 'sisi', 'kanan', 'sayap', 'mu', 'makin', 'hidup']"
memang kenapa sancho antony itu beli dijual paling an juga wakaka,"['memang', 'kenapa', 'sancho', 'antony', 'itu', 'beli', 'dijual', 'paling', 'an', 'juga', 'wakaka']"
banyak pemain mu yang performanya naik turun harusnya lebih konsisten,"['banyak', 'pemain', 'mu', 'yang', 'performanya', 'naik', 'turun', 'harusnya', 'lebih', 'konsisten']"
serangan balik mu bagus tapi pertahanannya juga harus kuat,"['serangan', 'balik', 'mu', 'bagus', 'tapi', 'pertahanannya', 'juga', 'harus', 'kuat']"
skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,"['skema', 'serangan', 'balik', 'amorim', 'lebih', 'efektif', 'pemain', 'lebih', 'cepat', 'mengambil', 'keputusan']"
bisa nya enggak pakai striker,"['bisa', 'nya', 'enggak', 'pakai', 'striker']"
hahaha siap sih paling enggak fomo,"['hahaha', 'siap', 'sih', 'paling', 'enggak', 'fomo']"
garnacho makin keren tinggal diasah finishingnya saja biar makin tajam,"['garnacho', 'makin', 'keren', 'tinggal', 'diasah', 'finishingnya', 'saja', 'biar', 'makin', 'tajam']"
ajg sterling,"['ajg', 'sterling']"
oi oi oi,"['oi', 'oi', 'oi']"
amorim lebih berhasil dalam mengatur pertahanan tapi kadang serangan tim masih terhambat oleh keputusan yang buruk,"['amorim', 'lebih', 'berhasil', 'dalam', 'mengatur', 'pertahanan', 'tapi', 'kadang', 'serangan', 'tim', 'masih', 'terhambat', 'oleh', 'keputusan', 'yang', 'buruk']"
tim medis nya dipertanyakan,"['tim', 'medis', 'nya', 'dipertanyakan']"
capek serius deh,"['capek', 'serius', 'deh']"
pendukung botak kau tolol,"['pendukung', 'botak', 'kau', 'tolol']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
saya ragu apakah amorim bisa membawa tim ini juara,"['saya', 'ragu', 'apakah', 'amorim', 'bisa', 'membawa', 'tim', 'ini', 'juara']"
plis jangan degradasi,"['plis', 'jangan', 'degradasi']"
kita tetap perlu meningkatkan ketajaman di lini serang banyak peluang yang seharusnya bisa lebih diselesaikan,"['kita', 'tetap', 'perlu', 'meningkatkan', 'ketajaman', 'di', 'lini', 'serang', 'banyak', 'peluang', 'yang', 'seharusnya', 'bisa', 'lebih', 'diselesaikan']"
dalot lupa kalo dia bek kiri,"['dalot', 'lupa', 'kalo', 'dia', 'bek', 'kiri']"
eth brharap rash menemukan performa terbaiknya dengan cara selalu menurunkannya namun tetap gagal sepertinya eth harus membuat keputusan dengan mempertimbangkan garnacho lwf dan amad rwf,"['eth', 'brharap', 'rash', 'menemukan', 'performa', 'terbaiknya', 'dengan', 'cara', 'selalu', 'menurunkannya', 'namun', 'tetap', 'gagal', 'sepertinya', 'eth', 'harus', 'membuat', 'keputusan', 'dengan', 'mempertimbangkan', 'garnacho', 'lwf', 'dan', 'amad', 'rwf']"
kagak jadi menonton,"['kagak', 'jadi', 'menonton']"
midchester united,"['midchester', 'united']"
dari pas pertama ngelatih juga bilang begini sih botak,"['dari', 'pas', 'pertama', 'ngelatih', 'juga', 'bilang', 'begini', 'sih', 'botak']"
saya harap ruben amorim bisa segera mengatasi masalah ketajaman lini depan hasil imbang menunjukkan ada ruang untuk perbaikan,"['saya', 'harap', 'ruben', 'amorim', 'bisa', 'segera', 'mengatasi', 'masalah', 'ketajaman', 'lini', 'depan', 'hasil', 'imbang', 'menunjukkan', 'ada', 'ruang', 'untuk', 'perbaikan']"
kamu keren onana enggak pernah becus nangkap penalti,"['kamu', 'keren', 'onana', 'enggak', 'pernah', 'becus', 'nangkap', 'penalti']"
amorim membuat permainan lebih seimbang antara serangan dan bertahan tetapi konsistensi masih jadi masalah,"['amorim', 'membuat', 'permainan', 'lebih', 'seimbang', 'antara', 'serangan', 'dan', 'bertahan', 'tetapi', 'konsistensi', 'masih', 'jadi', 'masalah']"
kekalahan sangat buruk amorim harus segera evaluasi tim dan atasi kelemahan yang jelas di lini belakang,"['kekalahan', 'sangat', 'buruk', 'amorim', 'harus', 'segera', 'evaluasi', 'tim', 'dan', 'atasi', 'kelemahan', 'yang', 'jelas', 'di', 'lini', 'belakang']"
biasain menonton,"['biasain', 'menonton']"
hahahah,['hahahah']
deh gea diamonde deh light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,"['deh', 'gea', 'diamonde', 'deh', 'light', 'maguire', 'mazroi', 'mctomnay', 'mainodavies', 'kvaratskhelia', 'hojlundgyokeres', 'olise']"
rasford lol,"['rasford', 'lol']"
poor club,"['poor', 'club']"
mainoo beban sih,"['mainoo', 'beban', 'sih']"
cilwel masih sabi sih,"['cilwel', 'masih', 'sabi', 'sih']"
betul,['betul']
gue enggak paham kenapa dia selalu main terus padahal mainnya begitu begitu saja,"['gue', 'enggak', 'paham', 'kenapa', 'dia', 'selalu', 'main', 'terus', 'padahal', 'mainnya', 'begitu', 'begitu', 'saja']"
onana lawak banget wkwk,"['onana', 'lawak', 'banget', 'wkwk']"
ruben amorim memperlihatkan kualitasnya di laga kedua meskipun hasilnya imbang saya bisa melihat banyak peningkatan dalam permainan tim,"['ruben', 'amorim', 'memperlihatkan', 'kualitasnya', 'di', 'laga', 'kedua', 'meskipun', 'hasilnya', 'imbang', 'saya', 'bisa', 'melihat', 'banyak', 'peningkatan', 'dalam', 'permainan', 'tim']"
fix harry amass obi martin masuk skuad sih lekas pulih mu ggmu,"['fix', 'harry', 'amass', 'obi', 'martin', 'masuk', 'skuad', 'sih', 'lekas', 'pulih', 'mu', 'ggmu']"
ternyata belum berubah padahal liverpool baru ganti pelatih,"['ternyata', 'belum', 'berubah', 'padahal', 'liverpool', 'baru', 'ganti', 'pelatih']"
amorim membawa angin segar permainan jauh lebih atraktif dan menyerang,"['amorim', 'membawa', 'angin', 'segar', 'permainan', 'jauh', 'lebih', 'atraktif', 'dan', 'menyerang']"
saya melihat banyak potensi dalam tim meskipun hasil pertama imbang ruben amorim bisa memberikan mu banyak hal positif ke depannya,"['saya', 'melihat', 'banyak', 'potensi', 'dalam', 'tim', 'meskipun', 'hasil', 'pertama', 'imbang', 'ruben', 'amorim', 'bisa', 'memberikan', 'mu', 'banyak', 'hal', 'positif', 'ke', 'depannya']"
hojlund yang digadang gadang nakal cemerlang busuk juga di emyu ampun gua mah,"['hojlund', 'yang', 'digadang', 'gadang', 'nakal', 'cemerlang', 'busuk', 'juga', 'di', 'emyu', 'ampun', 'gua', 'mah']"
info skornya bang,"['info', 'skornya', 'bang']"
yang salah mengapai masukin rasford sama mount sudah benar beli pemain baru malah bandel,"['yang', 'salah', 'mengapai', 'masukin', 'rasford', 'sama', 'mount', 'sudah', 'benar', 'beli', 'pemain', 'baru', 'malah', 'bandel']"
iya memang mengomongkan umur tapi pengalaman di epl juga berpengaruh pastinyaa,"['iya', 'memang', 'mengomongkan', 'umur', 'tapi', 'pengalaman', 'di', 'epl', 'juga', 'berpengaruh', 'pastinyaa']"
pov untuk pertandingan kemarin v liverpool kenapa harus ada rashford ya karena belio satu nya homegrown kalo enggak salah aturannya setiap klubpertandingan harus memainkan min pemain homegrown,"['pov', 'untuk', 'pertandingan', 'kemarin', 'v', 'liverpool', 'kenapa', 'harus', 'ada', 'rashford', 'ya', 'karena', 'belio', 'satu', 'nya', 'homegrown', 'kalo', 'enggak', 'salah', 'aturannya', 'setiap', 'klubpertandingan', 'harus', 'memainkan', 'min', 'pemain', 'homegrown']"
ini pemain cuma lari lari doang jir sekarang tuh enggak tau kenapa dia gacor musim kemarin cuma karena ada mas wegwos,"['ini', 'pemain', 'cuma', 'lari', 'lari', 'doang', 'jir', 'sekarang', 'tuh', 'enggak', 'tau', 'kenapa', 'dia', 'gacor', 'musim', 'kemarin', 'cuma', 'karena', 'ada', 'mas', 'wegwos']"
ft win,"['ft', 'win']"
eth kapan di pecat,"['eth', 'kapan', 'di', 'pecat']"
tenang minimal trophy musim ini,"['tenang', 'minimal', 'trophy', 'musim', 'ini']"
ugarte dm maino cuma bruno amf lwf garnacho rwf amad cf hojlund,"['ugarte', 'dm', 'maino', 'cuma', 'bruno', 'amf', 'lwf', 'garnacho', 'rwf', 'amad', 'cf', 'hojlund']"
mainoo bisa kali di convert ke sama soalnya dribble nya bagus bola lengket di kaki dia bisa main sentuhan di area kotak penalti lawan,"['mainoo', 'bisa', 'kali', 'di', 'convert', 'ke', 'sama', 'soalnya', 'dribble', 'nya', 'bagus', 'bola', 'lengket', 'di', 'kaki', 'dia', 'bisa', 'main', 'sentuhan', 'di', 'area', 'kotak', 'penalti', 'lawan']"
gue yakin kalo sty dikasih tim mu pasti jauh lebih baik dari amorim pelatih penjas ini mah,"['gue', 'yakin', 'kalo', 'sty', 'dikasih', 'tim', 'mu', 'pasti', 'jauh', 'lebih', 'baik', 'dari', 'amorim', 'pelatih', 'penjas', 'ini', 'mah']"
bek kiri belum kemarin kalah lawan brigton gol menit akhir kan dari posisi bek kiri kosong melompong dalot bapuk jadi masih bisa alasan beliau sang botak,"['bek', 'kiri', 'belum', 'kemarin', 'kalah', 'lawan', 'brigton', 'gol', 'menit', 'akhir', 'kan', 'dari', 'posisi', 'bek', 'kiri', 'kosong', 'melompong', 'dalot', 'bapuk', 'jadi', 'masih', 'bisa', 'alasan', 'beliau', 'sang', 'botak']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
eth,['eth']
wasit asyu arsenal,"['wasit', 'asyu', 'arsenal']"
nice,['nice']
main dikandang sekarang kalah mulu heran,"['main', 'dikandang', 'sekarang', 'kalah', 'mulu', 'heran']"
pertahanan masih jadi masalah terlalu mudah ditembus seperti era ten hag,"['pertahanan', 'masih', 'jadi', 'masalah', 'terlalu', 'mudah', 'ditembus', 'seperti', 'era', 'ten', 'hag']"
setuju,['setuju']
yoi bang mungkin untuk casemiro bakal dicoba kalo ugarte sudah masuk squad,"['yoi', 'bang', 'mungkin', 'untuk', 'casemiro', 'bakal', 'dicoba', 'kalo', 'ugarte', 'sudah', 'masuk', 'squad']"
saya merasa bahwa dengan sedikit waktu ruben amorim bisa membawa tim ini kembali ke jalur kemenangan lini serang harus segera lebih tajam,"['saya', 'merasa', 'bahwa', 'dengan', 'sedikit', 'waktu', 'ruben', 'amorim', 'bisa', 'membawa', 'tim', 'ini', 'kembali', 'ke', 'jalur', 'kemenangan', 'lini', 'serang', 'harus', 'segera', 'lebih', 'tajam']"
mungkin karena ini sih jadi emyu menambah m saja,"['mungkin', 'karena', 'ini', 'sih', 'jadi', 'emyu', 'menambah', 'm', 'saja']"
astaga striker kita ini beban nyundul bola saja gagal terus,"['astaga', 'striker', 'kita', 'ini', 'beban', 'nyundul', 'bola', 'saja', 'gagal', 'terus']"
enggak bisa akamsi harus main,"['enggak', 'bisa', 'akamsi', 'harus', 'main']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
pertandingan akan dimulai pukul wib,"['pertandingan', 'akan', 'dimulai', 'pukul', 'wib']"
kebiasaan e mu mesti menit akhir cok,"['kebiasaan', 'e', 'mu', 'mesti', 'menit', 'akhir', 'cok']"
malah kalah,"['malah', 'kalah']"
bruno pertahankan standart kita,"['bruno', 'pertahankan', 'standart', 'kita']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
kecewa berat dengan permainan mu sekarang lebih buruk dari era ten hag,"['kecewa', 'berat', 'dengan', 'permainan', 'mu', 'sekarang', 'lebih', 'buruk', 'dari', 'era', 'ten', 'hag']"
beban dituker beban yang benar saja,"['beban', 'dituker', 'beban', 'yang', 'benar', 'saja']"
ganti kiper gol kedua bola cuman jarak segitu enggak bisa di save,"['ganti', 'kiper', 'gol', 'kedua', 'bola', 'cuman', 'jarak', 'segitu', 'enggak', 'bisa', 'di', 'save']"
